HD 16417,HD 16417,HD 16417 b,0.07,21.9,17.24,0.14,2008,The Furnace,Faint to the naked eye,5.8
HD 164922,HD 164922,HD 164922 b,0.36,114.4,1155,2.11,2006,The Hercules,Visible through binoculars,7
HD 167042,HD 167042,HD 167042 b,1.6,508.5,416.1,1.3,2007,The Dragon,Faint to the naked eye,6
HD 168443,HD 168443,HD 168443 b,7.66,2434.3,58.11,0.2931,1998,The Serpent,Visible through binoculars,6.9
HD 168746,HD 168746,HD 168746 b,0.23,73.1,6.4,0.065,2002,The Serpent,Visible through binoculars,8
HD 170469,HD 170469,HD 170469 b,0.67,212.9,1145,2.24,2007,The Serpent Holder,Visible through binoculars,8.2
HD 17092,HD 17092,HD 17092 b,4.6,1462,359.9,1.29,2007,The Hero,Visible through binoculars,7.7
HD 171028,HD 171028,HD 171028 b,1.98,629.3,550,1.32,2007,The Serpent Holder,Visible through binoculars,8.3
HD 17156,HD 17156,HD 17156 b,3.19,1014.2,21.22,0.1623,2007,The Seated Queen,Visible through binoculars,8.2
HD 173416,HD 173416,HD 173416 b,2.7,858.1,323.6,1.16,2008,The Lyre,Very faint to the naked eye,6.1
HD 175541,HD 175541,HD 175541 b,0.61,193.9,297.3,1.03,2007,The Serpent,Visible through binoculars,8
HD 177830,HD 177830,HD 177830 b,1.49,473.6,406.6,1.2218,1999,The Lyre,Visible through binoculars,7.2
HD 178911 B,HD 178911 B,HD 178911 B b,6.29,1999.8,71.49,0.32,2001,The Lyre,Visible through binoculars,8
HD 179079,HD 179079,HD 179079 b,0.08,25.4,14.48,0.11,2008,The Eagle,Visible through binoculars,8
HD 179949,HD 179949,HD 179949 b,0.95,301.9,3.09,0.045,2000,The Archer,Very faint to the naked eye,6.3
HD 185269,HD 185269,HD 185269 b,0.94,298.8,6.84,0.077,2006,The Swan,Visible through binoculars,6.7
HD 187085,HD 187085,HD 187085 b,0.75,238.4,986,2.05,2006,The Archer,Visible through binoculars,7.2
HD 188015,HD 188015,HD 188015 b,1.26,400.5,456.46,1.19,2004,The Fox,Visible through binoculars,8.2
HD 189733,HD 189733,HD 189733 b,1.14,361.7,2.22,0.03142,2005,The Fox,Visible through binoculars,7.7
HD 190647,HD 190647,HD 190647 b,1.9,603.9,1038.1,2.07,2007,The Archer,Visible through binoculars,7.8
HD 192263,HD 192263,HD 192263 b,0.73,233,24.36,0.15312,1999,The Eagle,Visible through binoculars,7.8
HD 192699,HD 192699,HD 192699 b,2.5,794.6,351.5,1.16,2007,The Eagle,Very faint to the naked eye,6.4
HD 195019,HD 195019,HD 195019 b,3.7,1176,18.2,0.1388,1998,The Dolphin,Visible through binoculars,6.9
HD 196050,HD 196050,HD 196050 b,2.83,899.5,1316.24,2.47,2002,The Peacock,Visible through binoculars,7.5
HD 196885 A,HD 196885 A,HD 196885 A b,2.98,947.1,1326,2.6,2007,The Dolphin,Very faint to the naked eye,6.4
HD 19994,HD 19994,HD 19994 b,1.68,534,535.7,1.42,2003,The Sea Monster,Visible to the naked eye,5.1
HD 202206,HD 202206,HD 202206 c,2.44,775.5,1383.4,2.55,2004,The Sea Goat,Visible through binoculars,8.1
HD 2039,HD 2039,HD 2039 b,4.9,1557.4,1183,2.2,2002,The Phoenix,Visible through binoculars,9
HD 205739,HD 205739,HD 205739 b,1.37,435.4,279.8,0.896,2008,The Southern Fish,Visible through binoculars,8.6
HD 20782,HD 20782,HD 20782 b,1.9,603.9,591.9,1.381,2006,The Furnace,Visible through binoculars,7.4
HD 208487,HD 208487,HD 208487 b,0.41,131.3,129.8,0.51,2004,The Crane,Visible through binoculars,7.5
HD 20868,HD 20868,HD 20868 b,1.99,632.5,380.85,0.947,2008,The Furnace,Visible through binoculars,9.9
HD 209458,HD 209458,HD 209458 b,0.71,226.9,3.52,0.04747,1999,The Winged Horse,Visible through binoculars,7.7
HD 210277,HD 210277,HD 210277 b,1.23,390.9,442.1,1.1,1998,The Water Bearer,Visible through binoculars,6.6
HD 210702,HD 210702,HD 210702 b,1.9,603.9,354.8,1.2,2007,The Winged Horse,Faint to the naked eye,5.9
HD 212301,HD 212301,HD 212301 b,0.45,143,2.25,0.036,2005,The Octant,Visible through binoculars,7.8
HD 213240,HD 213240,HD 213240 b,4.5,1430.2,951,2.03,2001,The Crane,Visible through binoculars,6.8
HD 216437,HD 216437,HD 216437 b,1.82,578.5,1256,2.32,2002,The Indian,Very faint to the naked eye,6.1
HD 216770,HD 216770,HD 216770 b,0.65,206.6,118.45,0.46,2003,The Southern Fish,Visible through binoculars,8.1
HD 219828,HD 219828,HD 219828 b,0.07,21,3.83,0.052,2007,The Winged Horse,Visible through binoculars,8
HD 221287,HD 221287,HD 221287 b,3.09,982.1,456.1,1.25,2007,The Toucan,Visible through binoculars,7.8
HD 222582,HD 222582,HD 222582 b,7.75,2463.2,572.38,1.35,1999,The Water Bearer,Visible through binoculars,7.7
HD 224693,HD 224693,HD 224693 b,0.71,225.7,26.73,0.233,2006,The Sea Monster,Visible through binoculars,8.2
HD 23079,HD 23079,HD 23079 b,2.5,794.6,626,1.5,2001,The Reticle,Visible through binoculars,7.1
HD 23127,HD 23127,HD 23127 b,1.5,476.7,1214,2.4,2007,The Reticle,Visible through binoculars,8.6
HD 231701,HD 231701,HD 231701 b,1.08,343.3,141.6,0.53,2007,The Arrow,Visible through binoculars,9
HD 23596,HD 23596,HD 23596 b,8.1,2574.4,1565,2.88,2002,The Hero,Visible through binoculars,7.2
HD 24040,HD 24040,HD 24040 b,4.01,1274.5,3668,4.92,2006,The Bull,Visible through binoculars,7.5
HD 2638,HD 2638,HD 2638 b,0.48,152.6,3.44,0.044,2005,The Sea Monster,Visible through binoculars,9.4
HD 27894,HD 27894,HD 27894 b,0.62,197.1,17.99,0.122,2005,The Reticle,Visible through binoculars,9.4
HD 28185,HD 28185,HD 28185 b,5.7,1811.6,383,1.03,2001,The River,Visible through binoculars,7.8
HD 30177,HD 30177,HD 30177 b,7.7,2447.3,1620,2.6,2002,The Swordfish,Visible through binoculars,8.4
HD 330075,HD 330075,HD 330075 b,0.62,197.1,3.39,0.039,2004,The Carpenter's Square,Visible through binoculars,9.4
HD 33283,HD 33283,HD 33283 b,0.33,104.9,18.18,0.168,2006,The Hare,Visible through binoculars,8.1
HD 33564,HD 33564,HD 33564 b,9.1,2892.3,388,1.1,2005,The Giraffe,Visible to the naked eye,5.1
HD 3651,HD 3651,HD 3651 b,0.2,63.6,62.23,0.284,2003,The Fishes,Faint to the naked eye,5.8
HD 37605,HD 37605,HD 37605 b,2.81,894.1,55.01,0.2837,2004,The Hunter,Visible through binoculars,8.7
HD 38529,HD 38529,HD 38529 b,0.78,247.9,14.31,0.131,2000,The Hunter,Faint to the naked eye,5.9
HD 39091,HD 39091,HD 39091 b,10.3,3273.6,2049,3.28,2001,The Table Mountain,Faint to the naked eye,5.7
HD 40979,HD 40979,HD 40979 b,3.28,1042.5,263.1,0.83,2002,The Charioteer,Visible through binoculars,6.7
HD 41004 A,HD 41004 A,HD 41004 A b,2.54,807.3,963,1.64,2004,The Painter's Easel,Visible through binoculars,8.7
HD 4113,HD 4113,HD 4113 b,1.56,495.8,526.62,1.28,2007,The Sculptor,Visible through binoculars,7.9
HD 4203,HD 4203,HD 4203 b,1.82,578.5,437.05,1.164,2001,The Fishes,Visible through binoculars,8.7
HD 4208,HD 4208,HD 4208 b,0.8,254.3,829,1.7,2001,The Sculptor,Visible through binoculars,7.8
HD 4308,HD 4308,HD 4308 b,0.04,12.9,15.61,0.118,2005,The Toucan,Visible through binoculars,6.5
HD 43691,HD 43691,HD 43691 b,2.49,791.4,36.96,0.24,2007,The Charioteer,Visible through binoculars,8
HD 45350,HD 45350,HD 45350 b,1.79,568.9,890.76,1.92,2004,The Charioteer,Visible through binoculars,7.9
HD 45652,HD 45652,HD 45652 b,0.47,149.4,43.6,0.23,2008,The Unicorn,Visible through binoculars,8.1
HD 46375,HD 46375,HD 46375 b,0.25,79.1,3.02,0.041,2000,The Unicorn,Visible through binoculars,7.9
HD 47536,HD 47536,HD 47536 b,5,1589.2,430,1.61,2003,The Great Dog,Visible to the naked eye,5.3
HD 48265,HD 48265,HD 48265 b,1.16,368.7,700,1.51,2008,The Stern,Visible through binoculars,8.1
HD 49674,HD 49674,HD 49674 b,0.12,36.6,4.94,0.058,2002,The Charioteer,Visible through binoculars,8.1
HD 50499,HD 50499,HD 50499 b,1.71,543.5,2482.7,3.86,2005,The Stern,Visible through binoculars,7.2
